Scenario,process_time_call_ambulance,process_time_ambulance_response,process_ambulance_on_scene_duration,process_msu_dispatch,process_msu_thrombolysis,process_msu_on_scene_post_thrombolysis,process_time_arrival_to_needle,transfer_time_delay,process_time_arrival_to_puncture,process_time_transfer_arrival_to_puncture,process_time_msu_arrival_to_puncture
84,0,15,20,0,15,15,45,30,30,45,30
85,0,15,20,0,15,15,45,30,30,45,45
86,0,15,20,0,15,15,45,30,30,45,60
87,0,15,20,0,15,15,45,30,30,60,30
88,0,15,20,0,15,15,45,30,30,60,45
89,0,15,20,0,15,15,45,30,30,60,60
90,0,15,20,0,15,15,45,30,45,30,30
91,0,15,20,0,15,15,45,30,45,30,45
92,0,15,20,0,15,15,45,30,45,30,60
93,0,15,20,0,15,15,45,30,45,45,30
94,0,15,20,0,15,15,45,30,45,45,45
95,0,15,20,0,15,15,45,30,45,45,60
96,0,15,20,0,15,15,45,30,45,60,30
97,0,15,20,0,15,15,45,30,45,60,45
98,0,15,20,0,15,15,45,30,45,60,60
99,0,15,20,0,15,15,45,30,60,30,30
100,0,15,20,0,15,15,45,30,60,30,45
101,0,15,20,0,15,15,45,30,60,30,60
102,0,15,20,0,15,15,45,30,60,45,30
103,0,15,20,0,15,15,45,30,60,45,45
104,0,15,20,0,15,15,45,30,60,45,60
105,0,15,20,0,15,15,45,30,60,60,30
106,0,15,20,0,15,15,45,30,60,60,45
107,0,15,20,0,15,15,45,30,60,60,60
108,0,15,20,0,15,15,45,60,30,30,30
109,0,15,20,0,15,15,45,60,30,30,45
110,0,15,20,0,15,15,45,60,30,30,60
111,0,15,20,0,15,15,45,60,30,45,30
112,0,15,20,0,15,15,45,60,30,45,45
113,0,15,20,0,15,15,45,60,30,45,60
114,0,15,20,0,15,15,45,60,30,60,30
115,0,15,20,0,15,15,45,60,30,60,45
116,0,15,20,0,15,15,45,60,30,60,60
117,0,15,20,0,15,15,45,60,45,30,30
118,0,15,20,0,15,15,45,60,45,30,45
119,0,15,20,0,15,15,45,60,45,30,60
120,0,15,20,0,15,15,45,60,45,45,30
121,0,15,20,0,15,15,45,60,45,45,45
122,0,15,20,0,15,15,45,60,45,45,60
123,0,15,20,0,15,15,45,60,45,60,30
124,0,15,20,0,15,15,45,60,45,60,45
125,0,15,20,0,15,15,45,60,45,60,60
126,0,15,20,0,15,15,45,60,60,30,30
127,0,15,20,0,15,15,45,60,60,30,45
128,0,15,20,0,15,15,45,60,60,30,60
129,0,15,20,0,15,15,45,60,60,45,30
130,0,15,20,0,15,15,45,60,60,45,45
131,0,15,20,0,15,15,45,60,60,45,60
132,0,15,20,0,15,15,45,60,60,60,30
133,0,15,20,0,15,15,45,60,60,60,45
134,0,15,20,0,15,15,45,60,60,60,60
135,0,15,20,0,15,15,45,90,30,30,30
136,0,15,20,0,15,15,45,90,30,30,45
137,0,15,20,0,15,15,45,90,30,30,60
138,0,15,20,0,15,15,45,90,30,45,30
139,0,15,20,0,15,15,45,90,30,45,45
140,0,15,20,0,15,15,45,90,30,45,60
141,0,15,20,0,15,15,45,90,30,60,30
142,0,15,20,0,15,15,45,90,30,60,45
143,0,15,20,0,15,15,45,90,30,60,60
144,0,15,20,0,15,15,45,90,45,30,30
145,0,15,20,0,15,15,45,90,45,30,45
146,0,15,20,0,15,15,45,90,45,30,60
147,0,15,20,0,15,15,45,90,45,45,30
148,0,15,20,0,15,15,45,90,45,45,45
149,0,15,20,0,15,15,45,90,45,45,60
150,0,15,20,0,15,15,45,90,45,60,30
151,0,15,20,0,15,15,45,90,45,60,45
152,0,15,20,0,15,15,45,90,45,60,60
153,0,15,20,0,15,15,45,90,60,30,30
154,0,15,20,0,15,15,45,90,60,30,45
155,0,15,20,0,15,15,45,90,60,30,60
156,0,15,20,0,15,15,45,90,60,45,30
157,0,15,20,0,15,15,45,90,60,45,45
158,0,15,20,0,15,15,45,90,60,45,60
159,0,15,20,0,15,15,45,90,60,60,30
160,0,15,20,0,15,15,45,90,60,60,45
161,0,15,20,0,15,15,45,90,60,60,60
162,0,15,20,0,15,30,30,30,30,30,30
163,0,15,20,0,15,30,30,30,30,30,45
164,0,15,20,0,15,30,30,30,30,30,60
165,0,15,20,0,15,30,30,30,30,45,30
166,0,15,20,0,15,30,30,30,30,45,45
167,0,15,20,0,15,30,30,30,30,45,60
168,0,15,20,0,15,30,30,30,30,60,30
169,0,15,20,0,15,30,30,30,30,60,45
170,0,15,20,0,15,30,30,30,30,60,60
171,0,15,20,0,15,30,30,30,45,30,30
172,0,15,20,0,15,30,30,30,45,30,45
173,0,15,20,0,15,30,30,30,45,30,60
174,0,15,20,0,15,30,30,30,45,45,30
175,0,15,20,0,15,30,30,30,45,45,45
176,0,15,20,0,15,30,30,30,45,45,60
177,0,15,20,0,15,30,30,30,45,60,30
178,0,15,20,0,15,30,30,30,45,60,45
179,0,15,20,0,15,30,30,30,45,60,60
180,0,15,20,0,15,30,30,30,60,30,30
181,0,15,20,0,15,30,30,30,60,30,45
182,0,15,20,0,15,30,30,30,60,30,60
183,0,15,20,0,15,30,30,30,60,45,30
184,0,15,20,0,15,30,30,30,60,45,45
185,0,15,20,0,15,30,30,30,60,45,60
186,0,15,20,0,15,30,30,30,60,60,30
187,0,15,20,0,15,30,30,30,60,60,45
188,0,15,20,0,15,30,30,30,60,60,60
189,0,15,20,0,15,30,30,60,30,30,30
190,0,15,20,0,15,30,30,60,30,30,45
191,0,15,20,0,15,30,30,60,30,30,60
192,0,15,20,0,15,30,30,60,30,45,30
193,0,15,20,0,15,30,30,60,30,45,45
194,0,15,20,0,15,30,30,60,30,45,60
195,0,15,20,0,15,30,30,60,30,60,30
196,0,15,20,0,15,30,30,60,30,60,45
197,0,15,20,0,15,30,30,60,30,60,60
198,0,15,20,0,15,30,30,60,45,30,30
199,0,15,20,0,15,30,30,60,45,30,45
200,0,15,20,0,15,30,30,60,45,30,60
201,0,15,20,0,15,30,30,60,45,45,30
202,0,15,20,0,15,30,30,60,45,45,45
203,0,15,20,0,15,30,30,60,45,45,60
204,0,15,20,0,15,30,30,60,45,60,30
205,0,15,20,0,15,30,30,60,45,60,45
206,0,15,20,0,15,30,30,60,45,60,60
207,0,15,20,0,15,30,30,60,60,30,30
208,0,15,20,0,15,30,30,60,60,30,45
209,0,15,20,0,15,30,30,60,60,30,60
210,0,15,20,0,15,30,30,60,60,45,30
211,0,15,20,0,15,30,30,60,60,45,45
212,0,15,20,0,15,30,30,60,60,45,60
213,0,15,20,0,15,30,30,60,60,60,30
214,0,15,20,0,15,30,30,60,60,60,45
215,0,15,20,0,15,30,30,60,60,60,60
216,0,15,20,0,15,30,30,90,30,30,30
217,0,15,20,0,15,30,30,90,30,30,45
218,0,15,20,0,15,30,30,90,30,30,60
219,0,15,20,0,15,30,30,90,30,45,30
220,0,15,20,0,15,30,30,90,30,45,45
221,0,15,20,0,15,30,30,90,30,45,60
222,0,15,20,0,15,30,30,90,30,60,30
223,0,15,20,0,15,30,30,90,30,60,45
224,0,15,20,0,15,30,30,90,30,60,60
225,0,15,20,0,15,30,30,90,45,30,30
226,0,15,20,0,15,30,30,90,45,30,45
227,0,15,20,0,15,30,30,90,45,30,60
228,0,15,20,0,15,30,30,90,45,45,30
229,0,15,20,0,15,30,30,90,45,45,45
230,0,15,20,0,15,30,30,90,45,45,60
231,0,15,20,0,15,30,30,90,45,60,30
232,0,15,20,0,15,30,30,90,45,60,45
233,0,15,20,0,15,30,30,90,45,60,60
234,0,15,20,0,15,30,30,90,60,30,30
235,0,15,20,0,15,30,30,90,60,30,45
236,0,15,20,0,15,30,30,90,60,30,60
237,0,15,20,0,15,30,30,90,60,45,30
238,0,15,20,0,15,30,30,90,60,45,45
239,0,15,20,0,15,30,30,90,60,45,60
240,0,15,20,0,15,30,30,90,60,60,30
241,0,15,20,0,15,30,30,90,60,60,45
242,0,15,20,0,15,30,30,90,60,60,60
243,0,15,20,0,15,30,45,30,30,30,30
244,0,15,20,0,15,30,45,30,30,30,45
245,0,15,20,0,15,30,45,30,30,30,60
246,0,15,20,0,15,30,45,30,30,45,30
247,0,15,20,0,15,30,45,30,30,45,45
248,0,15,20,0,15,30,45,30,30,45,60
249,0,15,20,0,15,30,45,30,30,60,30
250,0,15,20,0,15,30,45,30,30,60,45
251,0,15,20,0,15,30,45,30,30,60,60
252,0,15,20,0,15,30,45,30,45,30,30
253,0,15,20,0,15,30,45,30,45,30,45
254,0,15,20,0,15,30,45,30,45,30,60
255,0,15,20,0,15,30,45,30,45,45,30
256,0,15,20,0,15,30,45,30,45,45,45
257,0,15,20,0,15,30,45,30,45,45,60
258,0,15,20,0,15,30,45,30,45,60,30
259,0,15,20,0,15,30,45,30,45,60,45
260,0,15,20,0,15,30,45,30,45,60,60
261,0,15,20,0,15,30,45,30,60,30,30
262,0,15,20,0,15,30,45,30,60,30,45
263,0,15,20,0,15,30,45,30,60,30,60
264,0,15,20,0,15,30,45,30,60,45,30
265,0,15,20,0,15,30,45,30,60,45,45
266,0,15,20,0,15,30,45,30,60,45,60
267,0,15,20,0,15,30,45,30,60,60,30
268,0,15,20,0,15,30,45,30,60,60,45
269,0,15,20,0,15,30,45,30,60,60,60
270,0,15,20,0,15,30,45,60,30,30,30
271,0,15,20,0,15,30,45,60,30,30,45
272,0,15,20,0,15,30,45,60,30,30,60
273,0,15,20,0,15,30,45,60,30,45,30
274,0,15,20,0,15,30,45,60,30,45,45
275,0,15,20,0,15,30,45,60,30,45,60
276,0,15,20,0,15,30,45,60,30,60,30
277,0,15,20,0,15,30,45,60,30,60,45
278,0,15,20,0,15,30,45,60,30,60,60
279,0,15,20,0,15,30,45,60,45,30,30
280,0,15,20,0,15,30,45,60,45,30,45
281,0,15,20,0,15,30,45,60,45,30,60
282,0,15,20,0,15,30,45,60,45,45,30
283,0,15,20,0,15,30,45,60,45,45,45
284,0,15,20,0,15,30,45,60,45,45,60
285,0,15,20,0,15,30,45,60,45,60,30
286,0,15,20,0,15,30,45,60,45,60,45
287,0,15,20,0,15,30,45,60,45,60,60
288,0,15,20,0,15,30,45,60,60,30,30
289,0,15,20,0,15,30,45,60,60,30,45
290,0,15,20,0,15,30,45,60,60,30,60
291,0,15,20,0,15,30,45,60,60,45,30
292,0,15,20,0,15,30,45,60,60,45,45
293,0,15,20,0,15,30,45,60,60,45,60
294,0,15,20,0,15,30,45,60,60,60,30
295,0,15,20,0,15,30,45,60,60,60,45
296,0,15,20,0,15,30,45,60,60,60,60
297,0,15,20,0,15,30,45,90,30,30,30
298,0,15,20,0,15,30,45,90,30,30,45
299,0,15,20,0,15,30,45,90,30,30,60
300,0,15,20,0,15,30,45,90,30,45,30
301,0,15,20,0,15,30,45,90,30,45,45
302,0,15,20,0,15,30,45,90,30,45,60
303,0,15,20,0,15,30,45,90,30,60,30
304,0,15,20,0,15,30,45,90,30,60,45
305,0,15,20,0,15,30,45,90,30,60,60
306,0,15,20,0,15,30,45,90,45,30,30
307,0,15,20,0,15,30,45,90,45,30,45
308,0,15,20,0,15,30,45,90,45,30,60
309,0,15,20,0,15,30,45,90,45,45,30
310,0,15,20,0,15,30,45,90,45,45,45
311,0,15,20,0,15,30,45,90,45,45,60
312,0,15,20,0,15,30,45,90,45,60,30
313,0,15,20,0,15,30,45,90,45,60,45
314,0,15,20,0,15,30,45,90,45,60,60
315,0,15,20,0,15,30,45,90,60,30,30
316,0,15,20,0,15,30,45,90,60,30,45
317,0,15,20,0,15,30,45,90,60,30,60
318,0,15,20,0,15,30,45,90,60,45,30
319,0,15,20,0,15,30,45,90,60,45,45
320,0,15,20,0,15,30,45,90,60,45,60
321,0,15,20,0,15,30,45,90,60,60,30
322,0,15,20,0,15,30,45,90,60,60,45
323,0,15,20,0,15,30,45,90,60,60,60
324,0,15,20,0,30,15,30,30,30,30,30
325,0,15,20,0,30,15,30,30,30,30,45
326,0,15,20,0,30,15,30,30,30,30,60
327,0,15,20,0,30,15,30,30,30,45,30
328,0,15,20,0,30,15,30,30,30,45,45
329,0,15,20,0,30,15,30,30,30,45,60
330,0,15,20,0,30,15,30,30,30,60,30
331,0,15,20,0,30,15,30,30,30,60,45
332,0,15,20,0,30,15,30,30,30,60,60
333,0,15,20,0,30,15,30,30,45,30,30
334,0,15,20,0,30,15,30,30,45,30,45
335,0,15,20,0,30,15,30,30,45,30,60
336,0,15,20,0,30,15,30,30,45,45,30
337,0,15,20,0,30,15,30,30,45,45,45
338,0,15,20,0,30,15,30,30,45,45,60
339,0,15,20,0,30,15,30,30,45,60,30
340,0,15,20,0,30,15,30,30,45,60,45
341,0,15,20,0,30,15,30,30,45,60,60
342,0,15,20,0,30,15,30,30,60,30,30
343,0,15,20,0,30,15,30,30,60,30,45
344,0,15,20,0,30,15,30,30,60,30,60
345,0,15,20,0,30,15,30,30,60,45,30
346,0,15,20,0,30,15,30,30,60,45,45
347,0,15,20,0,30,15,30,30,60,45,60
348,0,15,20,0,30,15,30,30,60,60,30
349,0,15,20,0,30,15,30,30,60,60,45
350,0,15,20,0,30,15,30,30,60,60,60
351,0,15,20,0,30,15,30,60,30,30,30
352,0,15,20,0,30,15,30,60,30,30,45
353,0,15,20,0,30,15,30,60,30,30,60
354,0,15,20,0,30,15,30,60,30,45,30
355,0,15,20,0,30,15,30,60,30,45,45
356,0,15,20,0,30,15,30,60,30,45,60
357,0,15,20,0,30,15,30,60,30,60,30
358,0,15,20,0,30,15,30,60,30,60,45
359,0,15,20,0,30,15,30,60,30,60,60
360,0,15,20,0,30,15,30,60,45,30,30
361,0,15,20,0,30,15,30,60,45,30,45
362,0,15,20,0,30,15,30,60,45,30,60
363,0,15,20,0,30,15,30,60,45,45,30
364,0,15,20,0,30,15,30,60,45,45,45
365,0,15,20,0,30,15,30,60,45,45,60
366,0,15,20,0,30,15,30,60,45,60,30
367,0,15,20,0,30,15,30,60,45,60,45
368,0,15,20,0,30,15,30,60,45,60,60
369,0,15,20,0,30,15,30,60,60,30,30
370,0,15,20,0,30,15,30,60,60,30,45
371,0,15,20,0,30,15,30,60,60,30,60
372,0,15,20,0,30,15,30,60,60,45,30
373,0,15,20,0,30,15,30,60,60,45,45
374,0,15,20,0,30,15,30,60,60,45,60
375,0,15,20,0,30,15,30,60,60,60,30
376,0,15,20,0,30,15,30,60,60,60,45
377,0,15,20,0,30,15,30,60,60,60,60
378,0,15,20,0,30,15,30,90,30,30,30
379,0,15,20,0,30,15,30,90,30,30,45
380,0,15,20,0,30,15,30,90,30,30,60
381,0,15,20,0,30,15,30,90,30,45,30
382,0,15,20,0,30,15,30,90,30,45,45
383,0,15,20,0,30,15,30,90,30,45,60
384,0,15,20,0,30,15,30,90,30,60,30
385,0,15,20,0,30,15,30,90,30,60,45
386,0,15,20,0,30,15,30,90,30,60,60
387,0,15,20,0,30,15,30,90,45,30,30
388,0,15,20,0,30,15,30,90,45,30,45
389,0,15,20,0,30,15,30,90,45,30,60
390,0,15,20,0,30,15,30,90,45,45,30
391,0,15,20,0,30,15,30,90,45,45,45
392,0,15,20,0,30,15,30,90,45,45,60
393,0,15,20,0,30,15,30,90,45,60,30
394,0,15,20,0,30,15,30,90,45,60,45
395,0,15,20,0,30,15,30,90,45,60,60
396,0,15,20,0,30,15,30,90,60,30,30
397,0,15,20,0,30,15,30,90,60,30,45
398,0,15,20,0,30,15,30,90,60,30,60
399,0,15,20,0,30,15,30,90,60,45,30
400,0,15,20,0,30,15,30,90,60,45,45
401,0,15,20,0,30,15,30,90,60,45,60
402,0,15,20,0,30,15,30,90,60,60,30
403,0,15,20,0,30,15,30,90,60,60,45
404,0,15,20,0,30,15,30,90,60,60,60
405,0,15,20,0,30,15,45,30,30,30,30
406,0,15,20,0,30,15,45,30,30,30,45
407,0,15,20,0,30,15,45,30,30,30,60
408,0,15,20,0,30,15,45,30,30,45,30
409,0,15,20,0,30,15,45,30,30,45,45
410,0,15,20,0,30,15,45,30,30,45,60
411,0,15,20,0,30,15,45,30,30,60,30
412,0,15,20,0,30,15,45,30,30,60,45
413,0,15,20,0,30,15,45,30,30,60,60
414,0,15,20,0,30,15,45,30,45,30,30
415,0,15,20,0,30,15,45,30,45,30,45
416,0,15,20,0,30,15,45,30,45,30,60
417,0,15,20,0,30,15,45,30,45,45,30
418,0,15,20,0,30,15,45,30,45,45,45
419,0,15,20,0,30,15,45,30,45,45,60
420,0,15,20,0,30,15,45,30,45,60,30
421,0,15,20,0,30,15,45,30,45,60,45
422,0,15,20,0,30,15,45,30,45,60,60
423,0,15,20,0,30,15,45,30,60,30,30
424,0,15,20,0,30,15,45,30,60,30,45
425,0,15,20,0,30,15,45,30,60,30,60
426,0,15,20,0,30,15,45,30,60,45,30
427,0,15,20,0,30,15,45,30,60,45,45
428,0,15,20,0,30,15,45,30,60,45,60
429,0,15,20,0,30,15,45,30,60,60,30
430,0,15,20,0,30,15,45,30,60,60,45
431,0,15,20,0,30,15,45,30,60,60,60
432,0,15,20,0,30,15,45,60,30,30,30
433,0,15,20,0,30,15,45,60,30,30,45
434,0,15,20,0,30,15,45,60,30,30,60
435,0,15,20,0,30,15,45,60,30,45,30
436,0,15,20,0,30,15,45,60,30,45,45
437,0,15,20,0,30,15,45,60,30,45,60
438,0,15,20,0,30,15,45,60,30,60,30
439,0,15,20,0,30,15,45,60,30,60,45
440,0,15,20,0,30,15,45,60,30,60,60
441,0,15,20,0,30,15,45,60,45,30,30
442,0,15,20,0,30,15,45,60,45,30,45
443,0,15,20,0,30,15,45,60,45,30,60
444,0,15,20,0,30,15,45,60,45,45,30
445,0,15,20,0,30,15,45,60,45,45,45
446,0,15,20,0,30,15,45,60,45,45,60
447,0,15,20,0,30,15,45,60,45,60,30
448,0,15,20,0,30,15,45,60,45,60,45
449,0,15,20,0,30,15,45,60,45,60,60
450,0,15,20,0,30,15,45,60,60,30,30
451,0,15,20,0,30,15,45,60,60,30,45
452,0,15,20,0,30,15,45,60,60,30,60
453,0,15,20,0,30,15,45,60,60,45,30
454,0,15,20,0,30,15,45,60,60,45,45
455,0,15,20,0,30,15,45,60,60,45,60
456,0,15,20,0,30,15,45,60,60,60,30
457,0,15,20,0,30,15,45,60,60,60,45
458,0,15,20,0,30,15,45,60,60,60,60
459,0,15,20,0,30,15,45,90,30,30,30
460,0,15,20,0,30,15,45,90,30,30,45
461,0,15,20,0,30,15,45,90,30,30,60
462,0,15,20,0,30,15,45,90,30,45,30
463,0,15,20,0,30,15,45,90,30,45,45
464,0,15,20,0,30,15,45,90,30,45,60
465,0,15,20,0,30,15,45,90,30,60,30
466,0,15,20,0,30,15,45,90,30,60,45
467,0,15,20,0,30,15,45,90,30,60,60
468,0,15,20,0,30,15,45,90,45,30,30
469,0,15,20,0,30,15,45,90,45,30,45
470,0,15,20,0,30,15,45,90,45,30,60
471,0,15,20,0,30,15,45,90,45,45,30
472,0,15,20,0,30,15,45,90,45,45,45
473,0,15,20,0,30,15,45,90,45,45,60
474,0,15,20,0,30,15,45,90,45,60,30
475,0,15,20,0,30,15,45,90,45,60,45
476,0,15,20,0,30,15,45,90,45,60,60
477,0,15,20,0,30,15,45,90,60,30,30
478,0,15,20,0,30,15,45,90,60,30,45
479,0,15,20,0,30,15,45,90,60,30,60
480,0,15,20,0,30,15,45,90,60,45,30
481,0,15,20,0,30,15,45,90,60,45,45
482,0,15,20,0,30,15,45,90,60,45,60
483,0,15,20,0,30,15,45,90,60,60,30
484,0,15,20,0,30,15,45,90,60,60,45
485,0,15,20,0,30,15,45,90,60,60,60
486,0,15,20,0,30,30,30,30,30,30,30
487,0,15,20,0,30,30,30,30,30,30,45
488,0,15,20,0,30,30,30,30,30,30,60
489,0,15,20,0,30,30,30,30,30,45,30
490,0,15,20,0,30,30,30,30,30,45,45
491,0,15,20,0,30,30,30,30,30,45,60
492,0,15,20,0,30,30,30,30,30,60,30
493,0,15,20,0,30,30,30,30,30,60,45
494,0,15,20,0,30,30,30,30,30,60,60
495,0,15,20,0,30,30,30,30,45,30,30
496,0,15,20,0,30,30,30,30,45,30,45
497,0,15,20,0,30,30,30,30,45,30,60
498,0,15,20,0,30,30,30,30,45,45,30
499,0,15,20,0,30,30,30,30,45,45,45
500,0,15,20,0,30,30,30,30,45,45,60
501,0,15,20,0,30,30,30,30,45,60,30
502,0,15,20,0,30,30,30,30,45,60,45
503,0,15,20,0,30,30,30,30,45,60,60
504,0,15,20,0,30,30,30,30,60,30,30
505,0,15,20,0,30,30,30,30,60,30,45
506,0,15,20,0,30,30,30,30,60,30,60
507,0,15,20,0,30,30,30,30,60,45,30
508,0,15,20,0,30,30,30,30,60,45,45
509,0,15,20,0,30,30,30,30,60,45,60
510,0,15,20,0,30,30,30,30,60,60,30
511,0,15,20,0,30,30,30,30,60,60,45
512,0,15,20,0,30,30,30,30,60,60,60
513,0,15,20,0,30,30,30,60,30,30,30
514,0,15,20,0,30,30,30,60,30,30,45
515,0,15,20,0,30,30,30,60,30,30,60
516,0,15,20,0,30,30,30,60,30,45,30
517,0,15,20,0,30,30,30,60,30,45,45
518,0,15,20,0,30,30,30,60,30,45,60
519,0,15,20,0,30,30,30,60,30,60,30
520,0,15,20,0,30,30,30,60,30,60,45
521,0,15,20,0,30,30,30,60,30,60,60
522,0,15,20,0,30,30,30,60,45,30,30
523,0,15,20,0,30,30,30,60,45,30,45
524,0,15,20,0,30,30,30,60,45,30,60
525,0,15,20,0,30,30,30,60,45,45,30
526,0,15,20,0,30,30,30,60,45,45,45
527,0,15,20,0,30,30,30,60,45,45,60
528,0,15,20,0,30,30,30,60,45,60,30
529,0,15,20,0,30,30,30,60,45,60,45
530,0,15,20,0,30,30,30,60,45,60,60
531,0,15,20,0,30,30,30,60,60,30,30
532,0,15,20,0,30,30,30,60,60,30,45
533,0,15,20,0,30,30,30,60,60,30,60
534,0,15,20,0,30,30,30,60,60,45,30
535,0,15,20,0,30,30,30,60,60,45,45
536,0,15,20,0,30,30,30,60,60,45,60
537,0,15,20,0,30,30,30,60,60,60,30
538,0,15,20,0,30,30,30,60,60,60,45
539,0,15,20,0,30,30,30,60,60,60,60
540,0,15,20,0,30,30,30,90,30,30,30
541,0,15,20,0,30,30,30,90,30,30,45
542,0,15,20,0,30,30,30,90,30,30,60
543,0,15,20,0,30,30,30,90,30,45,30
544,0,15,20,0,30,30,30,90,30,45,45
545,0,15,20,0,30,30,30,90,30,45,60
546,0,15,20,0,30,30,30,90,30,60,30
547,0,15,20,0,30,30,30,90,30,60,45
548,0,15,20,0,30,30,30,90,30,60,60
549,0,15,20,0,30,30,30,90,45,30,30
550,0,15,20,0,30,30,30,90,45,30,45
551,0,15,20,0,30,30,30,90,45,30,60
552,0,15,20,0,30,30,30,90,45,45,30
553,0,15,20,0,30,30,30,90,45,45,45
554,0,15,20,0,30,30,30,90,45,45,60
555,0,15,20,0,30,30,30,90,45,60,30
556,0,15,20,0,30,30,30,90,45,60,45
557,0,15,20,0,30,30,30,90,45,60,60
558,0,15,20,0,30,30,30,90,60,30,30
559,0,15,20,0,30,30,30,90,60,30,45
560,0,15,20,0,30,30,30,90,60,30,60
561,0,15,20,0,30,30,30,90,60,45,30
562,0,15,20,0,30,30,30,90,60,45,45
563,0,15,20,0,30,30,30,90,60,45,60
564,0,15,20,0,30,30,30,90,60,60,30
565,0,15,20,0,30,30,30,90,60,60,45
566,0,15,20,0,30,30,30,90,60,60,60
567,0,15,20,0,30,30,45,30,30,30,30
568,0,15,20,0,30,30,45,30,30,30,45
569,0,15,20,0,30,30,45,30,30,30,60
